iso,country_name,year,tree_cover_ha,country_area_ha,sub-tropical_ha,tropical_ha,temperate_ha,boreal_ha
ABW,Aruba,2000,24.95241083,18197.51126,2353,15952,0,0
AFG,Afghanistan,2000,205791.2472,64385715.39,0,0,64551385,0
AGO,Angola,2000,55292492.04,124742297.5,125114006,388127,0,0
AIA,Anguilla,2000,2125.767403,8332.247766,5376,3000,0,0
ALA,Åland,2000,107727.2626,150643.2769,,,,
ALB,Albania,2000,648680.0523,2873537.207,0,0,2876172,0
AND,Andorra,2000,19004.03766,45196.41073,0,0,45222,0
ARG,Argentina,2000,39086979.32,278010122.1,104723372,7494740,166435944,0
ARM,Armenia,2000,336842.1509,2969008.68,0,0,2972315,0
ATF,French Southern Territories,2000,71.63610312,4361.769313,4380,0,6443,0
ATG,Antigua and Barbuda,2000,19323.34434,43575.65842,38511,5312,0,0
AUS,Australia,2000,42280598.69,768791340.1,221774515,3488796,546727061,0
AUT,Austria,2000,4336043.428,8385801.906,0,0,8380852,0
AZE,Azerbaijan,2000,1268610.215,8623532.539,0,0,8633144,0
BDI,Burundi,2000,537674.3484,2693531.442,2029424,682131,0,0
BEL,Belgium,2000,865425.8846,3070744.164,0,0,3066751,0
BEN,Benin,2000,168568.1739,11542318.34,11470566,145068,0,0
BES,"Bonaire, Saint Eustatius and Saba",2000,2432.087019,32365.98589,,,,
BGD,Bangladesh,2000,1938957.841,13938437.34,13136,13988550,0,0
BGR,Bulgaria,2000,4138947.996,11158730.95,0,0,11164778,0
BHS,Bahamas,2000,303575.4214,1338763.005,755085,589696,0,0
BIH,Bosnia and Herzegovina,2000,2657977.376,5106883.294,0,0,5107938,0
BLM,Saint-Barthélemy,2000,621.9506204,2468.524817,0,2484,0,0
BLR,Belarus,2000,9118585.551,20706912.09,0,0,20666534,0
BLZ,Belize,2000,1748275.855,2198946.132,313362,1897720,0,0
BMU,Bermuda,2000,604.7941316,6808.118594,,,,
BOL,Bolivia,2000,64521463.01,108339284.6,74617532,34328489,0,0
BRA,Brazil,2000,519187508.4,850035649.7,324177660,531010696,0,0
