iso,country_name,year,tree_cover_ha,country_area_ha,sub-tropical_ha,tropical_ha,temperate_ha,boreal_ha
ABW,Aruba,2000,24.95241083,18197.51126,2353.00,15952.00,0.00,0.00
AFG,Afghanistan,2000,205791.2472,64385715.39,0.00,0.00,64551385.00,0.00
AGO,Angola,2000,55292492.04,124742297.5,125114006.00,388127.00,0.00,0.00
AIA,Anguilla,2000,2125.767403,8332.247766,5376.00,3000.00,0.00,0.00
ALB,Albania,2000,648680.0523,2873537.207,0.00,0.00,2876172.00,0.00
AND,Andorra,2000,19004.03766,45196.41073,0.00,0.00,45222.00,0.00
ARG,Argentina,2000,39086979.32,278010122.1,104723372.00,7494740.00,166435944.00,0.00
ARM,Armenia,2000,336842.1509,2969008.68,0.00,0.00,2972315.00,0.00
ATF,French Southern Territories,2000,71.63610312,4361.769313,4380.00,0.00,6443.00,0.00
ATG,Antigua and Barbuda,2000,19323.34434,43575.65842,38511.00,5312.00,0.00,0.00
AUS,Australia,2000,42280598.69,768791340.1,221774515.00,3488796.00,546727061.00,0.00
AUT,Austria,2000,4336043.428,8385801.906,0.00,0.00,8380852.00,0.00
AZE,Azerbaijan,2000,1268610.215,8623532.539,0.00,0.00,8633144.00,0.00
BDI,Burundi,2000,537674.3484,2693531.442,2029424.00,682131.00,0.00,0.00
BEL,Belgium,2000,865425.8846,3070744.164,0.00,0.00,3066751.00,0.00
BEN,Benin,2000,168568.1739,11542318.34,11470566.00,145068.00,0.00,0.00
BGD,Bangladesh,2000,1938957.841,13938437.34,13136.00,13988550.00,0.00,0.00
BGR,Bulgaria,2000,4138947.996,11158730.95,0.00,0.00,11164778.00,0.00
BHS,Bahamas,2000,303575.4214,1338763.005,755085.00,589696.00,0.00,0.00
BIH,Bosnia and Herzegovina,2000,2657977.376,5106883.294,0.00,0.00,5107938.00,0.00
BLM,Saint-Barthélemy,2000,621.9506204,2468.524817,0.00,2484.00,0.00,0.00
BLR,Belarus,2000,9118585.551,20706912.09,0.00,0.00,20666534.00,0.00
BLZ,Belize,2000,1748275.855,2198946.132,313362.00,1897720.00,0.00,0.00
BOL,Bolivia,2000,64521463.01,108339284.6,74617532.00,34328489.00,0.00,0.00
BRA,Brazil,2000,519187508.4,850035649.7,324177660.00,531010696.00,0.00,0.00
BRB,Barbados,2000,5229.736145,43466.1461,42523.00,1204.00,0.00,0.00
BRN,Brunei,2000,529338.9744,577778.7739,0.00,581625.00,0.00,0.00
BTN,Bhutan,2000,2577234.598,3876296.122,79184.00,446004.00,3366184.00,0.00
CAF,Central African Republic,2000,47073501.13,62019959.34,55887660.00,6538697.00,0.00,0.00
CAN,Canada,2000,418066982.5,983422993.9,0.00,0.00,169284555.00,746912450.00
CHE,Switzerland,2000,1544417.66,4124549.642,0.00,0.00,4122879.00,0.00
CHL,Chile,2000,19287066.43,75735291.61,22115690.00,0.00,53760517.00,0.00
CHN,China,2000,162748596.4,938223515.7,0.00,153886490.00,786224508.00,33466.00
CIV,Côte d'Ivoire,2000,14872640.43,32165794.11,17615571.00,14759110.00,0.00,0.00
CMR,Cameroon,2000,31459332.15,46604005.89,22161170.00,24749646.00,0.00,0.00
COD,Democratic Republic of the Congo,2000,199281686.5,232912780.8,120082411.00,114374040.00,0.00,0.00
COG,Republic of Congo,2000,26388373.13,34173222.79,11162162.00,23240505.00,0.00,0.00
COL,Colombia,2000,81801036.05,113675874.9,27591743.00,86838244.00,0.00,0.00
COM,Comoros,2000,134784.166,167304.8283,12555.00,155791.00,0.00,0.00
CPV,Cape Verde,2000,7355.953906,409097.9066,411435.00,0.00,0.00,0.00
CRI,Costa Rica,2000,3913048.864,5117666.973,612395.00,4537700.00,0.00,0.00
CUB,Cuba,2000,4014607.415,11073121.95,8315845.00,2810787.00,0.00,0.00
CUW,Curaçao,2000,5260.667768,43776.98739,27178.00,16862.00,0.00,0.00
CYM,Cayman Islands,2000,13458.3907,28039.82871,16042.00,12145.00,0.00,0.00
CYP,Cyprus,2000,89657.93338,571955.8559,0.00,0.00,596797.00,0.00
CZE,Czech Republic,2000,3080384.408,7883558.886,0.00,0.00,7874960.00,0.00
DEU,Germany,2000,12526779.9,35783855.99,0.00,0.00,35734201.00,0.00
DJI,Djibouti,2000,0.075224553,2186335.765,2199861.00,0.00,0.00,0.00
DMA,Dominica,2000,70924.82619,75428.07801,14337.00,61520.00,0.00,0.00
DNK,Denmark,2000,663203.6978,4314471.771,0.00,0.00,43037.00,0.00
DOM,Dominican Republic,2000,2576426.467,4809195.188,1835673.00,2999149.00,0.00,0.00
DZA,Algeria,2000,1223621.291,230804377.3,201433268.00,0.00,30232724.00,0.00
ECU,Ecuador,2000,19027558.84,25611545.43,5090131.00,20693709.00,0.00,0.00
EGY,Egypt,2000,154304.2547,98376439.43,98408085.00,0.00,365669.00,0.00
ESP,Spain,2000,11018923.06,50604278.84,0.00,0.00,506620.00,0.00
EST,Estonia,2000,2639428.801,4548974.013,0.00,0.00,4535017.00,1.00
ETH,Ethiopia,2000,12040336.15,112951807,113674353.00,0.00,0.00,0.00
FIN,Finland,2000,21627651.62,33693917.99,0.00,0.00,726859.00,32827562.00
FJI,Fiji,2000,1556559.243,1808230.974,686865.00,1126491.00,0.00,0.00
FLK,Falkland Islands,2000,2188.357468,1239764.463,0.00,0.00,1237811.00,0.00
FRA,France,2000,16783020.1,54951497.53,0.00,0.00,54933269.00,0.00
GAB,Gabon,2000,24690965.17,26454969.88,4684577.00,21948451.00,0.00,0.00
GBR,United Kingdom,2000,3695599.411,24548497.62,0.00,0.00,24275321.00,0.00
GEO,Georgia,2000,3144573.091,6984457.387,0.00,0.00,6989163.00,0.00
GGY,Guernsey,2000,1508.204996,8844.937559,0.00,0.00,8836.00,0.00
GHA,Ghana,2000,6955668.117,23832413.12,15878129.00,8108493.00,0.00,0.00
GIB,Gibraltar,2000,119.8535095,721.2164659,0.00,0.00,722.00,0.00
GIN,Guinea,2000,8159637.07,24481606.68,22179344.00,2456318.00,0.00,0.00
GLP,Guadeloupe,2000,94757.79386,165028.8018,73145.00,92818.00,0.00,0.00
GMB,Gambia,2000,4562.45665,1067050.752,975320.00,98143.00,0.00,0.00
GNB,Guinea-Bissau,2000,1069848.614,3388205.005,2551821.00,857262.00,0.00,0.00
GNQ,Equatorial Guinea,2000,2654595.055,2695935.338,0.00,2714073.00,0.00,0.00
GRC,Greece,2000,3672496.929,13257505.41,0.00,0.00,13276105.00,0.00
GRD,Grenada,2000,28534.39673,35953.33668,10136.00,26038.00,0.00,0.00
GTM,Guatemala,2000,7693455.584,10915098.49,3973085.00,7004846.00,0.00,0.00
GUF,French Guiana,2000,8162751.085,8330096.727,0.00,8385681.00,0.00,0.00
GUY,Guyana,2000,18996032.66,20974416.14,1358229.00,19755272.00,0.00,0.00
HKG,Hong Kong,2000,62046.32395,112913.2158,0.00,113468.00,0.00,0.00
HND,Honduras,2000,7740481.981,11228979.9,7077488.00,4217252.00,0.00,0.00
HRV,Croatia,2000,2431307.547,5707840.169,0.00,0.00,5707900.00,0.00
HTI,Haiti,2000,858466.3796,2710683.587,932613.00,1792482.00,0.00,0.00
HUN,Hungary,2000,1990161.062,9305263.744,0.00,0.00,9300687.00,0.00
IDN,Indonesia,2000,160641223.3,189024469,7835059.00,182392840.00,0.00,0.00
IMN,Isle of Man,2000,13217.14962,57966.50957,0.00,0.00,57845.00,0.00
IND,India,2000,38830351.46,315279651.3,179482342.00,112682741.00,24580447.00,0.00
IRL,Ireland,2000,841570.7685,7036644.646,0.00,0.00,7023479.00,0.00
IRN,Iran,2000,1731671.419,162173902.8,177223.00,0.00,162458456.00,0.00
IRQ,Iraq,2000,17504.25586,44535864.69,33994437.00,0.00,10665039.00,0.00
ISR,Israel,2000,29485.15503,2215883.366,1346477.00,0.00,876224.00,0.00
ITA,Italy,2000,9318960.445,30075442.78,0.00,0.00,30092130.00,0.00
JAM,Jamaica,2000,768439.9916,1099979.933,226301.00,879676.00,0.00,0.00
JEY,Jersey,2000,1549.970698,12512.55196,0.00,0.00,12503.00,0.00
JOR,Jordan,2000,2271.459741,8911879.301,6833542.00,0.00,2105886.00,0.00
JPN,Japan,2000,26387254.41,37240326.66,0.00,365134.00,36941393.00,0.00
KAZ,Kazakhstan,2000,4240315.68,273053036.2,0.00,0.00,272867177.00,0.00
KEN,Kenya,2000,3319482.958,58598335.72,54219564.00,4772450.00,0.00,0.00
KGZ,Kyrgyzstan,2000,674974.2564,19864898.7,0.00,0.00,19881636.00,0.00
KHM,Cambodia,2000,8809929.849,18135960.79,11854931.00,6391366.00,0.00,0.00
KNA,Saint Kitts and Nevis,2000,13259.95375,26717.78773,1390.00,25470.00,0.00,0.00
KOR,South Korea,2000,5367962.226,10022829.79,0.00,0.00,10043074.00,0.00
LAO,Laos,2000,19129551.51,23000147.79,4201003.00,18922724.00,0.00,0.00
LBN,Lebanon,2000,65235.17381,1023803.861,0.00,0.00,1026413.00,0.00
LBR,Liberia,2000,9384713.475,9591801.583,57418.00,9597372.00,0.00,0.00
LBY,Libya,2000,6833.00933,161606184.8,155856374.00,0.00,6388077.00,0.00
LCA,Saint Lucia,2000,50731.18582,61447.62917,27127.00,34683.00,0.00,0.00
LIE,Liechtenstein,2000,9077.338,16203.80932,0.00,0.00,16196.00,0.00
LKA,Sri Lanka,2000,3939923.715,6583727.015,5029068.00,1597461.00,0.00,0.00
LSO,Lesotho,2000,6051.936642,3054531.163,3065087.00,0.00,0.00,0.00
LTU,Lithuania,2000,2336226.279,6501662.939,0.00,0.00,6486260.00,108.00
LUX,Luxembourg,2000,101326.4854,258155.7394,0.00,0.00,257871.00,0.00
LVA,Latvia,2000,3553506.465,6470996.261,0.00,0.00,6453631.00,0.00
MAC,Macao,2000,413.1857474,3412.786424,0.00,3429.00,0.00,0.00
MAF,Saint-Martin,2000,1849.577093,5616.342786,5142.00,506.00,0.00,0.00
MAR,Morocco,2000,648568.6234,41348767.35,9103203.00,0.00,32369360.00,0.00
MCO,Monaco,2000,0.391630013,235.2974845,0.00,0.00,236.00,0.00
MDA,Moldova,2000,356012.1018,3390780.839,0.00,0.00,3389082.00,0.00
MDG,Madagascar,2000,17141085.64,59144707.33,27756099.00,31698019.00,0.00,0.00
MDV,Maldives,2000,5569.753916,27912.71304,0.00,23712.00,0.00,0.00
MEX,Mexico,2000,53177141.6,195185464.5,117106556.00,30603.00,78941584.00,0.00
MKD,Macedonia,2000,781684.4168,2482514.958,0.00,0.00,2484520.00,0.00
MLI,Mali,2000,25097.99976,125119256.2,125808652.00,0.00,0.00,0.00
MLT,Malta,2000,116.7043176,32334.79078,0.00,0.00,32405.00,0.00
MMR,Myanmar,2000,42863374.09,66929667.33,3899169.00,61287447.00,2075303.00,0.00
MNE,Montenegro,2000,616440.4562,1333523.259,0.00,0.00,1334243.00,0.00
MNG,Mongolia,2000,4090464.887,156624744.5,0.00,0.00,152760295.00,3802679.00
